target,opinion,sentiment,reviewID,item
parts,a lot of little,NEG,3821,Super Robot
statue,a lot of meaning,POS,47,Statue of Liberty
wildlife rescue set,a lot of okay,POS,2163,Wildlife Rescue Off-Roader
wheels,a lot of play,NEG,1105,1989 Batmobile™
moc modular,a lot of respect,POS,4077,Assembly Square
details,a lot of small,POS,2178,Beach Lifeguard Station
touches,a lot of unique,POS,2400,Police Prisoner Transport
set,a lot to like,POS,4243,Assembly Square
play display,a ton of,POS,3733,Mighty Dinosaurs
glory,aback,POS,1006,1989 Batmobile™
movie car,aback,POS,1006,1989 Batmobile™
build,able,POS,1224,BOOST Creative Toolbox
build,able,POS,2194,Fire Rescue & Police Chase
tim burton movie era,able to fit,POS,951,1989 Batmobile™
skill level,above,NEU,1074,1989 Batmobile™
detail,above,POS,2073,Fire Command Unit
price,above,POS,4087,Assembly Square
interogation room,above,NEU,5022,Police Station
bathroom,above,POS,5022,Police Station
back side second floors,abruptly cut off,NEG,5097,Bookshop
batclaw,absence,NEG,515,1989 Batwing
detail,absent,NEG,5134,Bookshop
detail,abstract,NEG,73,Statue of Liberty
batteries,absurd,NEG,1190,BOOST Creative Toolbox
crannies,accentuate,NEG,93,Statue of Liberty
graphite powder,accentuate,NEG,93,Statue of Liberty
tan bricks nooks,accentuate,NEG,93,Statue of Liberty
roof,accentuates,NEG,4378,Haunted House
minifigure,acceptable,NEU,813,Batmobile™: The Penguin™ Chase
edge,acceptable,NEU,3151,Gray Baseplate
build technique,accepted,POS,1440,"Belle Bottom, Kevin and Bob"
brick headz method,accepted,POS,1440,"Belle Bottom, Kevin and Bob"
build,accessible,POS,4486,Boutique Hotel
first aid kit,accidents,NEG,3104,Brick Separator
lego set,accomplished,POS,3865,Colosseum
detail,accurate,POS,2,Statue of Liberty
instructions,accurate,POS,168,The White House
set,accurate,POS,227,New York City
look,accurate,POS,261,Singapore
tumbler,accurate,POS,465,LEGO® DC Batman™ Batmobile™ Tumbler
shape,accurate,POS,465,LEGO® DC Batman™ Batmobile™ Tumbler
design,accurate,POS,483,LEGO® DC Batman™ Batmobile™ Tumbler
gearing,accurate,POS,617,THE BATMAN - BATMOBILE™
engineering,accurate,POS,617,THE BATMAN - BATMOBILE™
seats,accurate,POS,737,LEGO® DC Batman™ Batmobile™ Tumbler: Scarecrow™ Showdown
batmobile,accurate,POS,771,LEGO® DC Batman™ Batmobile™ Tumbler: Scarecrow™ Showdown
show,accurate,POS,863,Batman™ Classic TV Series Batmobile™
show,accurate,POS,863,Batman™ Classic TV Series Batmobile™
cockpit,accurate,POS,928,1989 Batmobile™
design,accurate,POS,934,1989 Batmobile™
steering wheel,accurate,POS,934,1989 Batmobile™
joker minifigure,accurate,POS,1068,1989 Batmobile™
depiction,accurate,POS,1081,1989 Batmobile™
depiction,accurate,POS,1081,1989 Batmobile™
instructions show revs,accurate,POS,2776,Rocket Stunt Bike
stadium,accurate,POS,3973,Real Madrid – Santiago Bernabéu Stadium
set,accurate,POS,4056,Old Trafford - Manchester United
machinery,accurate,POS,4567,Ghostbusters™ ECTO-1
builds,accurate,POS,4588,Ghostbusters™ ECTO-1
detail,accurate,POS,4754,NASA Space Shuttle Discovery
set,accurately,POS,493,LEGO® DC Batman™ Batmobile™ Tumbler
built,accurately,POS,493,LEGO® DC Batman™ Batmobile™ Tumbler
monster trucks,ace,POS,1784,Stunt Show Arena
tumbler,achieves,POS,917,1989 Batmobile™
drop of the elevator car,activate,NEU,4341,Haunted House
base,actual,NEU,574,1989 Batwing
functional parts,actual,NEU,1843,Wildlife Rescue Camp
functional parts,actual,NEU,1851,Wildlife Rescue Camp
bricks,adaptable,POS,2577,Road Plates
lego,adaptable,POS,4151,Assembly Square
mini figs,add,POS,933,1989 Batmobile™
cargo train,add,NEU,1652,Passenger Train
cargo train set,add,NEU,1652,Passenger Train
stickers,add,NEU,1833,Town Center
lego sets,add,NEU,1906,Wildlife Rescue Operation
patient minifigure,add,NEU,2432,Rescue Helicopter Transport
play value,add,NEU,2432,Rescue Helicopter Transport
road signs,add,NEU,2574,Road Plates
dragon dance boy,added,NEU,1427,Lion Dance Guy
wildlife legos,added,NEU,2154,Wildlife Rescue Off-Roader
petrol station,added,NEU,2574,Road Plates
chain,added,NEU,4332,Haunted House
features,added,POS,4832,NASA Space Shuttle Discovery
minifigures,added,NEU,4961,Police Station
play element,added,NEU,5022,Police Station
tower,added bonus,POS,3304,Medieval Castle
payload area,added bonus,POS,4755,NASA Space Shuttle Discovery
hubble telescope,added bonus,POS,4812,NASA Space Shuttle Discovery
disney castle,addicted,POS,9,Statue of Liberty
sets,addicted,POS,1297,Road Runner™ & Wile E. Coyote™
brick headz range,addicted,POS,1440,"Belle Bottom, Kevin and Bob"
brickheadz,addicted,POS,1513,German Shepherd
x4 of piece,adding,NEG,1037,1989 Batmobile™
stuntz characters,adding,NEG,2736,Demolition Stunt Bike
roof,adding flair,NEG,4069,Assembly Square
stun park,addition,NEU,2740,Demolition Stunt Bike
support,additional,NEU,154,The White House
sets,additional,NEU,315,Tokyo
sets,additional,NEU,599,Jim Lee Batman™ Collection
airport,additional,NEU,1757,Passenger Airplane
seats,additional,NEU,1773,Passenger Airplane
characters,additional,NEU,2099,Police Patrol Boat
dimension,additional,POS,3379,Pirate Ship
builds,additional,NEU,3668,Deep Sea Creatures
parts,additional,NEU,4929,NASA Space Shuttle Discovery
control system,addressed,NEU,4761,NASA Space Shuttle Discovery
instructions,adept,POS,4596,Ghostbusters™ ECTO-1
shape,adjust,NEU,17,Statue of Liberty
trigger,adjust,NEU,487,LEGO® DC Batman™ Batmobile™ Tumbler
price,adjust,NEU,4173,Assembly Square
chains,adjusted,NEU,4450,Haunted House
koi fish,admire,POS,3502,Majestic Tiger
tiger,admire,POS,3502,Majestic Tiger
architectural detail,admire,POS,3830,Colosseum
sets,admire,POS,4800,NASA Space Shuttle Discovery
detail,admire,POS,5035,Police Station
set,admiring,POS,4829,NASA Space Shuttle Discovery
figures,adorable,POS,675,Batcave™: The Riddler™ Face-off
set,adorable,POS,842,Batman™ & Selina Kyle™ Motorcycle Pursuit
looks,adorable,POS,1327,Goldfish
set,adorable,POS,1365,St. Bernard
chibi style esthetic,adorable,POS,1460,The Mandalorian™ & the Child
mandalorian,adorable,POS,1470,The Mandalorian™ & the Child
lego form,adorable,POS,1483,The Mandalorian™ & the Child
looks,adorable,POS,1552,Frankenstein
printed coin piece,adorable,POS,1603,Lucky Cat
set,adorable,POS,1605,Lucky Cat
brick sketch,adorable,POS,1620,Mickey Mouse
pizza shop,adorable,POS,1835,Town Center
lego set,adorable,POS,2242,Lunar Roving Vehicle
mobile crane,adorable,POS,2288,Mobile Crane
holiday camper van set,adorable,POS,2479,Holiday Camper Van
lego city holiday camper,adorable,POS,2499,Holiday Camper Van
carrier,adorable,POS,2505,Holiday Camper Van
holiday camper,adorable,POS,2506,Holiday Camper Van
monkey figures,adorable,POS,2708,Wildlife Rescue ATV
figures,adorable,POS,2935,Creative Ocean Fun
set,adorable,POS,3574,Fish Tank
fantasy set,adorable,POS,3702,Fantasy Forest Creatures
set,adorable,POS,3714,Fantasy Forest Creatures
set,adorable,POS,3795,Dolphin and Turtle
eyes,adorable,POS,3795,Dolphin and Turtle
dolphin and turtle lego set,adorable,POS,3797,Dolphin and Turtle
dolphin and turtle lego set,adorable,POS,3802,Dolphin and Turtle
detail,adorable,POS,4230,Assembly Square
photograpier studio,adorable,POS,4230,Assembly Square
cafe corner box,adorable,POS,4230,Assembly Square
couch bed,adorable,POS,4230,Assembly Square
lego fantasy forest creatures,adorbs,POS,3707,Fantasy Forest Creatures
theme,adore,POS,2502,Holiday Camper Van
vintage minifigure faces,adore,POS,4206,Assembly Square
modular series,adore,POS,5140,Bookshop
aesthetic,adore,POS,5191,Bookshop
set,adored,POS,1556,La Catrina
building,adored,POS,4713,NASA Space Shuttle Discovery
set,adored,POS,4713,NASA Space Shuttle Discovery
build,adored,POS,4861,NASA Space Shuttle Discovery
build,advance,NEG,1812,Town Center
minds,advance,POS,2881,Around the World
builds,advance,POS,4402,Haunted House
lego,advanced,NEG,311,Tokyo
age,advanced,NEG,311,Tokyo
building experience,advanced,POS,923,1989 Batmobile™
kits,advanced,POS,1144,BOOST Creative Toolbox
builder,advanced,POS,1919,Lunar Space Station
sets,advanced,POS,2103,Police Patrol Boat
building techniques,advanced,POS,3302,Medieval Castle
building sets,advanced,POS,3619,Street Racer
building techniques,advanced,POS,3791,Cyber Drone
build,advanced,POS,3856,Colosseum
lego architecture sets,advanced,POS,4029,Old Trafford - Manchester United
sets,advanced,POS,4029,Old Trafford - Manchester United
lego creator expert,advanced,POS,4355,Haunted House
lego creator expert sets,advanced,POS,4355,Haunted House
lego sets,advanced,POS,4644,Ghostbusters™ ECTO-1
building methodology,advanced,POS,4743,NASA Space Shuttle Discovery
building techniques,advanced,POS,4857,NASA Space Shuttle Discovery
building techniques,advanced,POS,5116,Bookshop
saturn v discovery shuttle,advantage,POS,3541,Space Shuttle Adventure
luna lander,advantage,POS,3541,Space Shuttle Adventure
online instructions,advantage,POS,3842,Colosseum
instructions,advantageous,POS,2009,Stunt Show Truck
lego fan,affectionate,POS,343,Paris
set up,affective,POS,5176,Bookshop
sets,affordable,POS,205,New York City
priced,affordable,POS,741,LEGO® DC Batman™ Batmobile™ Tumbler: Scarecrow™ Showdown
brick ratio,affordable,POS,998,1989 Batmobile™
sets,affordable,POS,2485,Holiday Camper Van
ferris wheel,affordable,POS,3429,Ferris Wheel
price,affordable,POS,3829,Super Robot
dad me,afol,NEU,1145,BOOST Creative Toolbox
lego set,age appropriate,POS,2114,Police Patrol Boat
four wheel drive car,age appropriate,POS,2155,Wildlife Rescue Off-Roader
safari,age appropriate,POS,2155,Wildlife Rescue Off-Roader
legos,ages,NEU,1920,Lunar Space Station
box,ages,NEU,1996,Stunt Show Truck
assembly square set,aggressive,NEG,4105,Assembly Square
set,agonising,NEG,4777,NASA Space Shuttle Discovery
colour,agree,POS,3251,Green Baseplate
comments,agree,NEU,4345,Haunted House
mid level grade,agree,NEU,5030,Police Station
bookshop,agree,NEU,5107,Bookshop
display,aimed,NEU,952,1989 Batmobile™
wall separations toilet storage,alive,NEU,4947,Police Station
wall separations toilet storage and interrogation room,alive,NEU,4947,Police Station
interrogation room,alive,NEU,4947,Police Station
sizes,all,POS,3003,Brick Separator
shapes,all,POS,3006,Brick Separator
layout,alleviate,NEU,2618,Tracks
building,alright,POS,60,Statue of Liberty
baseplate,alright,POS,3225,Green Baseplate
time lapse,altered,NEU,4234,Assembly Square
hours,altered,NEU,4234,Assembly Square
palm tree,altered,NEU,4508,Boutique Hotel
trebuchet alternate build,alternate,NEU,3313,Medieval Castle
build,alternate,NEG,3343,Medieval Castle
building,alternated,NEU,1195,BOOST Creative Toolbox
face,alternative,POS,768,LEGO® DC Batman™ Batmobile™ Tumbler: Scarecrow™ Showdown
builds lego,alternative,NEU,2281,Mobile Crane
builds,alternative,NEG,2281,Mobile Crane
bumper cars,alternative,NEU,3429,Ferris Wheel
swing ride,alternative,NEU,3429,Ferris Wheel
builds,alternative,NEG,3685,Deep Sea Creatures
builds,alternative,NEG,3717,Mighty Dinosaurs
builds,alternative,NEU,3756,Mighty Dinosaurs
lego architecture,amazed,POS,38,Statue of Liberty
detail,amazed,POS,38,Statue of Liberty
engineering,amazed,POS,969,1989 Batmobile™
build,amazed,POS,1051,1989 Batmobile™
batmobile design,amazed,POS,1051,1989 Batmobile™
detail,amazed,POS,2073,Fire Command Unit
cannon,amazed,POS,2092,Police Patrol Boat
mechanical design,amazed,POS,2287,Mobile Crane
techni bricks,amazed,POS,2287,Mobile Crane
brick separators,amazed,POS,3069,Brick Separator
brick plate tile,amazed,POS,3069,Brick Separator
size,amazed,POS,3994,Camp Nou – FC Barcelona
quality accuracy,amazed,POS,4016,Old Trafford - Manchester United
precision,amazed,POS,4016,Old Trafford - Manchester United
set,amazed,POS,4060,Assembly Square
size of the box,amazed,POS,4074,Assembly Square
detail,amazed,POS,4151,Assembly Square
build,amazed,POS,4226,Assembly Square
moving parts,amazed,POS,4623,Ghostbusters™ ECTO-1
details,amazed,POS,4716,NASA Space Shuttle Discovery
size,amazed,POS,4716,NASA Space Shuttle Discovery
leading edge of the wing,amazed,POS,4757,NASA Space Shuttle Discovery
cargo bay,amazed,POS,4786,NASA Space Shuttle Discovery
landing gear,amazed,POS,4786,NASA Space Shuttle Discovery
landing gear and crew compartments,amazed,POS,4786,NASA Space Shuttle Discovery
crew compartments,amazed,POS,4786,NASA Space Shuttle Discovery
size,amazed,POS,4850,NASA Space Shuttle Discovery
builds,amazed,POS,4979,Police Station
detail,amazed,POS,5142,Bookshop
set,amazing,POS,10,Statue of Liberty
city,amazing,POS,37,Statue of Liberty
art piece,amazing,POS,38,Statue of Liberty
pedestal,amazing,POS,63,Statue of Liberty
size,amazing,POS,71,Statue of Liberty
details,amazing,POS,71,Statue of Liberty
set,amazing,POS,74,Statue of Liberty
display,amazing,POS,75,Statue of Liberty
build,amazing,POS,77,Statue of Liberty
design,amazing,POS,91,Statue of Liberty
face,amazing,POS,91,Statue of Liberty
set,amazing,POS,96,Statue of Liberty
techniques,amazing,POS,99,Statue of Liberty
set,amazing,POS,109,Taj Mahal
looking,amazing,POS,115,Taj Mahal
build,amazing,POS,115,Taj Mahal
detail,amazing,POS,128,Taj Mahal
details,amazing,POS,142,The White House
front of the lego set,amazing,POS,177,The White House
lego set,amazing,POS,177,The White House
designs,amazing,POS,194,New York City
esb,amazing,POS,216,New York City
set,amazing,POS,217,New York City
staten island ferry,amazing,POS,217,New York City
detail,amazing,POS,233,New York City
set,amazing,POS,246,New York City
buildings,amazing,POS,246,New York City
build,amazing,POS,247,New York City
set,amazing,POS,254,Singapore
build,amazing,POS,288,Singapore
architecture range,amazing,POS,289,Singapore
building techniques,amazing,POS,344,Paris
detail,amazing,POS,365,London
set,amazing,POS,365,London
architecture,amazing,POS,390,London
stairs,amazing,POS,415,Trafalgar Square
detail,amazing,POS,415,Trafalgar Square
set,amazing,POS,420,Trafalgar Square
build,amazing,POS,455,Dubai
set,amazing,POS,457,LEGO® DC Batman™ Batmobile™ Tumbler
minifigures,amazing,POS,461,LEGO® DC Batman™ Batmobile™ Tumbler
batman s cape,amazing,POS,461,LEGO® DC Batman™ Batmobile™ Tumbler
interrogation scene joker,amazing,POS,471,LEGO® DC Batman™ Batmobile™ Tumbler
design,amazing,POS,471,LEGO® DC Batman™ Batmobile™ Tumbler
set piece,amazing,POS,479,LEGO® DC Batman™ Batmobile™ Tumbler
figures,amazing,POS,486,LEGO® DC Batman™ Batmobile™ Tumbler
minifigures,amazing,POS,496,LEGO® DC Batman™ Batmobile™ Tumbler
set,amazing,POS,498,LEGO® DC Batman™ Batmobile™ Tumbler
built,amazing,POS,515,1989 Batwing
display,amazing,POS,515,1989 Batwing
build,amazing,POS,523,1989 Batwing
look,amazing,POS,537,1989 Batwing
design,amazing,POS,543,1989 Batwing
build,amazing,POS,543,1989 Batwing
detail,amazing,POS,562,1989 Batwing
looks,amazing,POS,577,1989 Batwing
set,amazing,POS,598,Jim Lee Batman™ Collection
work,amazing,POS,604,Jim Lee Batman™ Collection
set,amazing,POS,609,Jim Lee Batman™ Collection
instructions,amazing,POS,611,Jim Lee Batman™ Collection
light gimmicks,amazing,POS,614,THE BATMAN - BATMOBILE™
set,amazing,POS,627,THE BATMAN - BATMOBILE™
show piece,amazing,POS,647,THE BATMAN - BATMOBILE™
batman lego,amazing,POS,652,THE BATMAN - BATMOBILE™
instructions,amazing,POS,652,THE BATMAN - BATMOBILE™
kit,amazing,POS,660,THE BATMAN - BATMOBILE™
set,amazing,POS,674,Batcave™: The Riddler™ Face-off
set,amazing,POS,674,Batcave™: The Riddler™ Face-off
head,amazing,POS,686,Batman™ Cowl
x,amazing,POS,686,Batman™ Cowl
eyebrows,amazing,POS,691,Batman™ Cowl
set,amazing,POS,691,Batman™ Cowl
set,amazing,POS,726,Classic TV Series Batman™ Cowl
figures,amazing,POS,737,LEGO® DC Batman™ Batmobile™ Tumbler: Scarecrow™ Showdown
looks,amazing,POS,757,LEGO® DC Batman™ Batmobile™ Tumbler: Scarecrow™ Showdown
finished bay mobile,amazing,POS,760,LEGO® DC Batman™ Batmobile™ Tumbler: Scarecrow™ Showdown
bay mobile,amazing,POS,760,LEGO® DC Batman™ Batmobile™ Tumbler: Scarecrow™ Showdown
build,amazing,POS,766,LEGO® DC Batman™ Batmobile™ Tumbler: Scarecrow™ Showdown
lego quality,amazing,POS,811,Batmobile™: The Penguin™ Chase
lego quality durable,amazing,POS,811,Batmobile™: The Penguin™ Chase
build,amazing,POS,816,Batmobile™: The Penguin™ Chase
figures,amazing,POS,836,Batman™ & Selina Kyle™ Motorcycle Pursuit
looks,amazing,POS,907,1989 Batmobile™
shelf,amazing,POS,907,1989 Batmobile™
tumbler,amazing,POS,917,1989 Batmobile™
intricacies,amazing,POS,917,1989 Batmobile™
engineering,amazing,POS,917,1989 Batmobile™
built,amazing,POS,919,1989 Batmobile™
build,amazing,POS,920,1989 Batmobile™
tumbler,amazing,POS,929,1989 Batmobile™
set,amazing,POS,934,1989 Batmobile™
build,amazing,POS,939,1989 Batmobile™
detail,amazing,POS,946,1989 Batmobile™
built,amazing,POS,950,1989 Batmobile™
display,amazing,POS,956,1989 Batmobile™
detail,amazing,POS,963,1989 Batmobile™
detail,amazing,POS,970,1989 Batmobile™
looks,amazing,POS,971,1989 Batmobile™
build,amazing,POS,975,1989 Batmobile™
set,amazing,POS,984,1989 Batmobile™
design,amazing,POS,1009,1989 Batmobile™
schematic,amazing,POS,1022,1989 Batmobile™
build,amazing,POS,1030,1989 Batmobile™
size,amazing,POS,1038,1989 Batmobile™
shapes,amazing,POS,1051,1989 Batmobile™
contours,amazing,POS,1051,1989 Batmobile™
set,amazing,POS,1051,1989 Batmobile™
end product,amazing,POS,1052,1989 Batmobile™
detail,amazing,POS,1058,1989 Batmobile™
design,amazing,POS,1058,1989 Batmobile™
set,amazing,POS,1066,1989 Batmobile™
build experience,amazing,POS,1066,1989 Batmobile™
looks,amazing,POS,1066,1989 Batmobile™
figures,amazing,POS,1093,1989 Batmobile™
set,amazing,POS,1103,1989 Batmobile™
build,amazing,POS,1120,1989 Batmobile™
batmobile,amazing,POS,1121,1989 Batmobile™
looks,amazing,POS,1124,1989 Batmobile™
engineering,amazing,POS,1130,1989 Batmobile™
set,amazing,POS,1156,BOOST Creative Toolbox
programming,amazing,POS,1172,BOOST Creative Toolbox
toy,amazing,POS,1172,BOOST Creative Toolbox
lego boost creative toolbox,amazing,POS,1209,BOOST Creative Toolbox
detail,amazing,POS,1239,Spice Girls Tribute
spice fan,amazing,POS,1247,Spice Girls Tribute
details,amazing,POS,1249,Spice Girls Tribute
build process,amazing,POS,1304,Woody and Bo Peep
pets set,amazing,POS,1327,Goldfish
looks,amazing,POS,1352,Shorthair Cats
brickheadz collection,amazing,POS,1372,Ahsoka Tano™
detail,amazing,POS,1414,Lady Liberty
purchase,amazing,POS,1415,Lady Liberty
brickhead,amazing,POS,1461,The Mandalorian™ & the Child
visor building technique,amazing,POS,1472,The Mandalorian™ & the Child
detail,amazing,POS,1481,The Mandalorian™ & the Child
components,amazing,POS,1492,The Mandalorian™ & the Child
details,amazing,POS,1552,Frankenstein
build,amazing,POS,1570,La Catrina
value,amazing,POS,1603,Lucky Cat
printed coin piece,amazing,POS,1603,Lucky Cat
display piece,amazing,POS,1603,Lucky Cat
detail,amazing,POS,1661,Passenger Train
train tracks,amazing,POS,1710,Cargo Train
result,amazing,POS,1730,Rocket Launch Center
details,amazing,POS,1748,Lunar Research Base
monster trucks,amazing,POS,1784,Stunt Show Arena
stunt show arena,amazing,POS,1807,Stunt Show Arena
pieces,amazing,POS,1815,Town Center
wildlife rescue camp lego set,amazing,POS,1865,Wildlife Rescue Camp
aspect,amazing,POS,1870,Wildlife Rescue Operation
lego set,amazing,POS,1880,Wildlife Rescue Operation
city wildlife rescue operation lego set,amazing,POS,1888,Wildlife Rescue Operation
set,amazing,POS,1891,Wildlife Rescue Operation
lego,amazing,POS,1903,Wildlife Rescue Operation
detail,amazing,POS,1912,Lunar Space Station
quality,amazing,POS,1912,Lunar Space Station
set,amazing,POS,1915,Lunar Space Station
legos,amazing,POS,1924,Lunar Space Station
company,amazing,POS,1924,Lunar Space Station
lego set,amazing,POS,1938,Ocean Exploration Base
price,amazing,POS,1938,Ocean Exploration Base
set,amazing,POS,1938,Ocean Exploration Base
dark blue strips,amazing,POS,1939,Ocean Exploration Base
plan,amazing,POS,1942,Fire Station
built,amazing,POS,1942,Fire Station
gift,amazing,POS,1948,Fire Station
design,amazing,POS,1960,Police Station
details,amazing,POS,1960,Police Station
design,amazing,POS,1965,Police Station
details,amazing,POS,2005,Stunt Show Truck
gift option,amazing,POS,2068,Fire Command Unit
result,amazing,POS,2088,Police Patrol Boat
quality,amazing,POS,2091,Police Patrol Boat
colours,amazing,POS,2091,Police Patrol Boat
lego,amazing,POS,2100,Police Patrol Boat
detail,amazing,POS,2100,Police Patrol Boat
lego sets,amazing,POS,2109,Police Patrol Boat
quality,amazing,POS,2238,Ice Cream Truck Police Chase
lego,amazing,POS,2267,Lunar Roving Vehicle
lego set,amazing,POS,2277,Mobile Crane
crane,amazing,POS,2278,Mobile Crane
set,amazing,POS,2294,Police Helicopter Chase
looks,amazing,POS,2298,Stunt Park
set,amazing,POS,2311,Stunt Park
set,amazing,POS,2378,Fire Ladder Truck
built,amazing,POS,2380,Fire Ladder Truck
value,amazing,POS,2402,Police Prisoner Transport
lego helicopter rescue set,amazing,POS,2441,Rescue Helicopter Transport
tiles,amazing,POS,2542,Road Plates
set,amazing,POS,2560,Road Plates
price,amazing,POS,2560,Road Plates
looks,amazing,POS,2597,Road Plates
wheel chair,amazing,POS,2802,Skate Park
instructions,amazing,POS,2892,LEGO® Medium Creative Brick Box
lil wonder,amazing,POS,2999,Brick Separator
seperator,amazing,POS,3005,Brick Separator
brick separator,amazing,POS,3017,Brick Separator
quality,amazing,POS,3030,Brick Separator
invention,amazing,POS,3066,Brick Separator
tool,amazing,POS,3067,Brick Separator
bricks,amazing,POS,3109,Brick Separator
stud long baseplate,amazing,POS,3170,Gray Baseplate
baseplate,amazing,POS,3170,Gray Baseplate
purchase,amazing,POS,3182,Gray Baseplate
piece,amazing,POS,3269,White Baseplate
medieval castle,amazing,POS,3273,Medieval Castle
castle,amazing,POS,3273,Medieval Castle
set,amazing,POS,3282,Medieval Castle
details,amazing,POS,3282,Medieval Castle
detail,amazing,POS,3296,Medieval Castle
building blocks,amazing,POS,3319,Medieval Castle
building blocks,amazing,POS,3319,Medieval Castle
lego pirate ship,amazing,POS,3360,Pirate Ship
value,amazing,POS,3361,Pirate Ship
details,amazing,POS,3366,Pirate Ship
build,amazing,POS,3384,Pirate Ship
ships,amazing,POS,3394,Pirate Ship
creator set,amazing,POS,3413,Ferris Wheel
ferris wheel,amazing,POS,3413,Ferris Wheel
detail,amazing,POS,3413,Ferris Wheel
build,amazing,POS,3414,Ferris Wheel
build,amazing,POS,3430,Ferris Wheel
in creator ferris wheel lego set,amazing,POS,3443,Ferris Wheel
lego set,amazing,POS,3459,Caravan Family Holiday
details,amazing,POS,3459,Caravan Family Holiday
accuracy,amazing,POS,3459,Caravan Family Holiday
set,amazing,POS,3463,Caravan Family Holiday
build,amazing,POS,3470,Caravan Family Holiday
build,amazing,POS,3480,Majestic Tiger
build,amazing,POS,3482,Majestic Tiger
size,amazing,POS,3482,Majestic Tiger
look,amazing,POS,3485,Majestic Tiger
build,amazing,POS,3486,Majestic Tiger
techniques,amazing,POS,3492,Majestic Tiger
lego creatures,amazing,POS,3494,Majestic Tiger
tiger facial expressions,amazing,POS,3494,Majestic Tiger
set,amazing,POS,3507,Majestic Tiger
set,amazing,POS,3522,Majestic Tiger
build,amazing,POS,3544,Space Shuttle Adventure
set up,amazing,POS,3581,Fish Tank
toys,amazing,POS,3589,Fish Tank
value,amazing,POS,3618,Race Car Transporter
piece count,amazing,POS,3618,Race Car Transporter
colors,amazing,POS,3664,Supersonic-jet
size,amazing,POS,3664,Supersonic-jet
set,amazing,POS,3667,Deep Sea Creatures
set,amazing,POS,3671,Deep Sea Creatures
set,amazing,POS,3675,Deep Sea Creatures
pack,amazing,POS,3678,Deep Sea Creatures
set,amazing,POS,3739,Mighty Dinosaurs
